"FECHA","DIA","INFEC_SINTO","HOSPITALIZADOS","AMBULATORIOS","MUERTES"
"2020-03-11",0,1,0,0,0
"2020-03-12",1,1,0,0,0
"2020-03-13",2,0,0,0,0
"2020-03-14",3,0,0,0,0
"2020-03-15",4,0,0,1,0
"2020-03-16",5,1,0,0,0
"2020-03-17",6,3,0,1,0
"2020-03-18",7,0,0,0,0
"2020-03-19",8,2,0,0,0
"2020-03-20",9,0,0,0,0
"2020-03-21",10,0,0,0,0
"2020-03-22",11,0,0,0,0
"2020-03-23",12,1,1,0,0
"2020-03-24",13,2,0,1,0
"2020-03-25",14,0,0,1,0
"2020-03-26",15,0,0,1,0
"2020-03-27",16,1,1,2,0
"2020-03-28",17,3,0,0,0
"2020-03-29",18,0,0,0,0
"2020-03-30",19,0,0,0,0
"2020-03-31",20,0,0,3,0
"2020-04-01",21,5,0,0,0
"2020-04-02",22,0,0,0,0
"2020-04-03",23,0,0,0,0
"2020-04-04",24,4,0,3,0
"2020-04-05",25,0,1,0,0
"2020-04-06",26,1,1,0,0
"2020-04-07",27,1,2,1,0
"2020-04-08",28,1,1,0,0
"2020-04-09",29,2,2,1,1
"2020-04-10",30,0,0,1,0
"2020-04-11",31,2,1,1,0
"2020-04-12",32,1,0,0,0
"2020-04-13",33,0,0,0,0
"2020-04-14",34,0,0,0,0
"2020-04-15",35,0,1,1,0
"2020-04-16",36,3,0,0,0
"2020-04-17",37,4,1,1,1
"2020-04-18",38,5,0,1,0
"2020-04-19",39,7,1,0,0
"2020-04-20",40,6,0,0,0
"2020-04-21",41,6,2,3,0
"2020-04-22",42,7,3,4,0
"2020-04-23",43,8,0,2,0
"2020-04-24",44,6,0,7,0
"2020-04-25",45,5,2,1,1
"2020-04-26",46,6,0,6,0
"2020-04-27",47,9,1,8,0
"2020-04-28",48,6,0,6,1
"2020-04-29",49,5,0,1,0
"2020-04-30",50,16,0,8,0
"2020-05-01",51,12,1,5,0
"2020-05-02",52,19,0,15,0
"2020-05-03",53,19,0,6,0
"2020-05-04",54,29,1,19,1
"2020-05-05",55,17,1,29,0
"2020-05-06",56,27,1,10,0
"2020-05-07",57,28,1,12,1
"2020-05-08",58,31,3,19,0
"2020-05-09",59,26,1,23,0
"2020-05-10",60,40,0,12,0
"2020-05-11",61,24,4,33,1
"2020-05-12",62,23,3,25,0
"2020-05-13",63,29,5,37,1
"2020-05-14",64,27,5,16,1
"2020-05-15",65,73,5,23,0
"2020-05-16",66,85,1,19,1
"2020-05-17",67,88,5,26,0
"2020-05-18",68,61,6,58,0
"2020-05-19",69,57,1,51,0
"2020-05-20",70,66,6,52,1
"2020-05-21",71,59,8,79,0
"2020-05-22",72,95,13,50,1
"2020-05-23",73,82,13,50,4
"2020-05-24",74,61,12,46,4
"2020-05-25",75,64,15,53,3
"2020-05-26",76,51,4,98,5
"2020-05-27",77,77,10,74,2
"2020-05-28",78,66,9,55,3
"2020-05-29",79,73,12,52,3
"2020-05-30",80,89,12,38,2
"2020-05-31",81,58,17,45,3
"2020-06-01",82,110,21,62,4
"2020-06-02",83,67,20,60,3
"2020-06-03",84,74,12,67,4
"2020-06-04",85,73,20,44,6
"2020-06-05",86,80,18,42,8
"2020-06-06",87,102,31,42,2
"2020-06-07",88,96,14,26,5
"2020-06-08",89,102,22,70,3
"2020-06-09",90,93,22,70,8
"2020-06-10",91,103,17,71,4
"2020-06-11",92,86,18,72,9
"2020-06-12",93,91,22,67,7
"2020-06-13",94,116,26,60,8
"2020-06-14",95,99,27,33,7
"2020-06-15",96,135,20,102,8
"2020-06-16",97,111,25,82,8
"2020-06-17",98,91,21,85,4
"2020-06-18",99,119,31,74,7
"2020-06-19",100,120,24,121,6
"2020-06-20",101,160,26,56,6
"2020-06-21",102,107,19,56,3
"2020-06-22",103,152,32,121,9
"2020-06-23",104,119,41,87,14
"2020-06-24",105,123,25,85,14
"2020-06-25",106,165,31,122,10
"2020-06-26",107,151,31,91,8
"2020-06-27",108,116,35,52,5
"2020-06-28",109,140,34,66,8
"2020-06-29",110,129,29,116,4
"2020-06-30",111,121,41,134,1
"2020-07-01",112,129,32,134,12
"2020-07-02",113,76,27,117,8
"2020-07-03",114,103,28,45,9
"2020-07-04",115,75,21,37,6
"2020-07-05",116,64,17,57,6
"2020-07-06",117,70,34,102,9
"2020-07-07",118,56,33,96,9
"2020-07-08",119,54,30,80,17
"2020-07-09",120,48,31,90,12
"2020-07-10",121,44,21,93,9
"2020-07-11",122,22,20,60,2
"2020-07-12",123,8,16,30,1
"2020-07-13",124,3,12,89,1
"2020-07-14",125,1,7,40,1
"2020-07-15",126,0,0,9,0
